Group,Subgroup,Time Period Start Date,Time Period End Date,Value,Low CI,High CI,Confidence Interval,Year,Start_Month
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-11,2020-11-23,32.8,29.4,36.3,29.4 - 36.3,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-11,2020-11-23,52.6,48.4,56.8,48.4 - 56.8,2020,Nov
By Education,Less than a high school diploma,2020-11-11,2020-11-23,51,45.3,56.7,45.3 - 56.7,2020,Nov
By Education,High school diploma or GED,2020-11-11,2020-11-23,43,41,45,41.0 - 45.0,2020,Nov
By Education,Some college/Associate's degree,2020-11-11,2020-11-23,45.9,44.7,47.2,44.7 - 47.2,2020,Nov
By Education,Bachelor's degree or higher,2020-11-11,2020-11-23,37.5,36.7,38.3,36.7 - 38.3,2020,Nov
National Estimate,United States,2020-11-25,2020-12-07,28.9,28.2,29.6,28.2 - 29.6,2020,Nov
By Age,18 - 29 years,2020-11-25,2020-12-07,42.1,39.7,44.5,39.7 - 44.5,2020,Nov
By Age,30 - 39 years,2020-11-25,2020-12-07,33.4,31.7,35.1,31.7 - 35.1,2020,Nov
By Age,40 - 49 years,2020-11-25,2020-12-07,30.5,28.7,32.3,28.7 - 32.3,2020,Nov
By Age,50 - 59 years,2020-11-25,2020-12-07,28,26.5,29.6,26.5 - 29.6,2020,Nov
By Age,60 - 69 years,2020-11-25,2020-12-07,21.7,20.2,23.2,20.2 - 23.2,2020,Nov
By Age,70 - 79 years,2020-11-25,2020-12-07,17.2,15.5,19,15.5 - 19.0,2020,Nov
By Age,80 years and above,2020-11-25,2020-12-07,14.4,10.6,18.8,10.6 - 18.8,2020,Nov
By Sex,Male,2020-11-25,2020-12-07,26.7,25.5,27.9,25.5 - 27.9,2020,Nov
By Sex,Female,2020-11-25,2020-12-07,30.9,30.1,31.8,30.1 - 31.8,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-25,2020-12-07,33.1,30.6,35.7,30.6 - 35.7,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-25,2020-12-07,27.2,26.3,28,26.3 - 28.0,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-25,2020-12-07,32.2,30.2,34.3,30.2 - 34.3,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-25,2020-12-07,25.7,22.8,28.8,22.8 - 28.8,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-25,2020-12-07,35,32.4,37.7,32.4 - 37.7,2020,Nov
By Education,Less than a high school diploma,2020-11-25,2020-12-07,41.3,36.2,46.6,36.2 - 46.6,2020,Nov
By Education,High school diploma or GED,2020-11-25,2020-12-07,31.5,29.6,33.4,29.6 - 33.4,2020,Nov
By Education,Some college/Associate's degree,2020-11-25,2020-12-07,32.1,30.8,33.3,30.8 - 33.3,2020,Nov
By Education,Bachelor's degree or higher,2020-11-25,2020-12-07,21.1,20.4,21.8,20.4 - 21.8,2020,Nov
National Estimate,United States,2020-11-25,2020-12-07,36.1,35.5,36.8,35.5 - 36.8,2020,Nov
By Age,18 - 29 years,2020-11-25,2020-12-07,49,46.6,51.4,46.6 - 51.4,2020,Nov
By Age,30 - 39 years,2020-11-25,2020-12-07,42.6,41.1,44.2,41.1 - 44.2,2020,Nov
By Age,40 - 49 years,2020-11-25,2020-12-07,40.7,38.8,42.5,38.8 - 42.5,2020,Nov
By Age,50 - 59 years,2020-11-25,2020-12-07,35.1,33.6,36.6,33.6 - 36.6,2020,Nov
By Age,60 - 69 years,2020-11-25,2020-12-07,27.3,25.8,28.9,25.8 - 28.9,2020,Nov
By Age,70 - 79 years,2020-11-25,2020-12-07,21.2,18.7,23.8,18.7 - 23.8,2020,Nov
By Age,80 years and above,2020-11-25,2020-12-07,16.1,12.3,20.5,12.3 - 20.5,2020,Nov
By Sex,Male,2020-11-25,2020-12-07,31.4,30.3,32.6,30.3 - 32.6,2020,Nov
By Sex,Female,2020-11-25,2020-12-07,40.5,39.7,41.3,39.7 - 41.3,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-25,2020-12-07,41.8,39.1,44.4,39.1 - 44.4,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-25,2020-12-07,34.6,33.9,35.4,33.9 - 35.4,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-25,2020-12-07,36.9,34.4,39.4,34.4 - 39.4,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-25,2020-12-07,29.7,26.3,33.3,26.3 - 33.3,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-25,2020-12-07,44.9,41.3,48.4,41.3 - 48.4,2020,Nov
By Education,Less than a high school diploma,2020-11-25,2020-12-07,46.9,42.1,51.8,42.1 - 51.8,2020,Nov
By Education,High school diploma or GED,2020-11-25,2020-12-07,35.2,33.4,37,33.4 - 37.0,2020,Nov
By Education,Some college/Associate's degree,2020-11-25,2020-12-07,40,38.9,41.2,38.9 - 41.2,2020,Nov
By Education,Bachelor's degree or higher,2020-11-25,2020-12-07,31.4,30.6,32.1,30.6 - 32.1,2020,Nov
National Estimate,United States,2020-11-25,2020-12-07,41.4,40.7,42.2,40.7 - 42.2,2020,Nov
By Age,18 - 29 years,2020-11-25,2020-12-07,56.5,54.3,58.7,54.3 - 58.7,2020,Nov
By Age,30 - 39 years,2020-11-25,2020-12-07,47.6,46.1,49.2,46.1 - 49.2,2020,Nov
By Age,40 - 49 years,2020-11-25,2020-12-07,45.3,43.3,47.3,43.3 - 47.3,2020,Nov
By Age,50 - 59 years,2020-11-25,2020-12-07,40,38.3,41.7,38.3 - 41.7,2020,Nov
By Age,60 - 69 years,2020-11-25,2020-12-07,32.3,30.6,34.1,30.6 - 34.1,2020,Nov
By Age,70 - 79 years,2020-11-25,2020-12-07,26.4,24,28.8,24.0 - 28.8,2020,Nov
By Age,80 years and above,2020-11-25,2020-12-07,19.4,15.4,23.9,15.4 - 23.9,2020,Nov
By Sex,Male,2020-11-25,2020-12-07,36.8,35.7,38,35.7 - 38.0,2020,Nov
By Sex,Female,2020-11-25,2020-12-07,45.7,44.8,46.5,44.8 - 46.5,2020,Nov
By Race/Hispanic ethnicity,Hispanic or Latino,2020-11-25,2020-12-07,48,45.1,50.9,45.1 - 50.9,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-11-25,2020-12-07,39.6,38.8,40.5,38.8 - 40.5,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-11-25,2020-12-07,42.5,40.2,44.9,40.2 - 44.9,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-11-25,2020-12-07,35,31.8,38.2,31.8 - 38.2,2020,Nov
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-11-25,2020-12-07,49.8,46.5,53.1,46.5 - 53.1,2020,Nov
By Education,Less than a high school diploma,2020-11-25,2020-12-07,53,48.2,57.8,48.2 - 57.8,2020,Nov
By Education,High school diploma or GED,2020-11-25,2020-12-07,42.3,40.2,44.4,40.2 - 44.4,2020,Nov
By Education,Some college/Associate's degree,2020-11-25,2020-12-07,45,43.9,46.2,43.9 - 46.2,2020,Nov
By Education,Bachelor's degree or higher,2020-11-25,2020-12-07,35,34.2,35.8,34.2 - 35.8,2020,Nov
National Estimate,United States,2020-12-09,2020-12-21,30.2,29.4,31.1,29.4 - 31.1,2020,Dec
By Age,18 - 29 years,2020-12-09,2020-12-21,43.6,41.1,46.1,41.1 - 46.1,2020,Dec
By Age,30 - 39 years,2020-12-09,2020-12-21,34.9,33.1,36.8,33.1 - 36.8,2020,Dec
By Age,40 - 49 years,2020-12-09,2020-12-21,31.5,29.7,33.4,29.7 - 33.4,2020,Dec
By Age,50 - 59 years,2020-12-09,2020-12-21,28.9,27.4,30.3,27.4 - 30.3,2020,Dec
By Age,60 - 69 years,2020-12-09,2020-12-21,22.5,21.2,24,21.2 - 24.0,2020,Dec
By Age,70 - 79 years,2020-12-09,2020-12-21,18.4,16.6,20.2,16.6 - 20.2,2020,Dec
By Age,80 years and above,2020-12-09,2020-12-21,21.7,15.9,28.6,15.9 - 28.6,2020,Dec
By Sex,Male,2020-12-09,2020-12-21,27.9,26.8,29.2,26.8 - 29.2,2020,Dec
By Sex,Female,2020-12-09,2020-12-21,32.3,31.4,33.3,31.4 - 33.3,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-09,2020-12-21,33,30.8,35.2,30.8 - 35.2,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-09,2020-12-21,28.8,28.1,29.5,28.1 - 29.5,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-09,2020-12-21,35.2,32.6,37.9,32.6 - 37.9,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-09,2020-12-21,24,20.8,27.5,20.8 - 27.5,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-09,2020-12-21,37.3,33.9,40.8,33.9 - 40.8,2020,Dec
By Education,Less than a high school diploma,2020-12-09,2020-12-21,38.3,33.6,43.2,33.6 - 43.2,2020,Dec
By Education,High school diploma or GED,2020-12-09,2020-12-21,33.8,31.8,35.8,31.8 - 35.8,2020,Dec
By Education,Some college/Associate's degree,2020-12-09,2020-12-21,33.8,32.8,34.8,32.8 - 34.8,2020,Dec
By Education,Bachelor's degree or higher,2020-12-09,2020-12-21,22,21.3,22.7,21.3 - 22.7,2020,Dec
National Estimate,United States,2020-12-09,2020-12-21,36.9,36.1,37.7,36.1 - 37.7,2020,Dec
By Age,18 - 29 years,2020-12-09,2020-12-21,48.1,45.6,50.6,45.6 - 50.6,2020,Dec
By Age,30 - 39 years,2020-12-09,2020-12-21,44.3,42.4,46.3,42.4 - 46.3,2020,Dec
By Age,40 - 49 years,2020-12-09,2020-12-21,40,38.3,41.8,38.3 - 41.8,2020,Dec
By Age,50 - 59 years,2020-12-09,2020-12-21,36.2,34.6,37.8,34.6 - 37.8,2020,Dec
By Age,60 - 69 years,2020-12-09,2020-12-21,28.6,27.1,30.2,27.1 - 30.2,2020,Dec
By Age,70 - 79 years,2020-12-09,2020-12-21,21.5,19.9,23.1,19.9 - 23.1,2020,Dec
By Age,80 years and above,2020-12-09,2020-12-21,22.5,16.9,28.9,16.9 - 28.9,2020,Dec
By Sex,Male,2020-12-09,2020-12-21,32.2,31.1,33.3,31.1 - 33.3,2020,Dec
By Sex,Female,2020-12-09,2020-12-21,41.1,40,42.2,40.0 - 42.2,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-09,2020-12-21,39.8,37.5,42,37.5 - 42.0,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-09,2020-12-21,35.8,35,36.6,35.0 - 36.6,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-09,2020-12-21,41.1,38.2,44.1,38.2 - 44.1,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-09,2020-12-21,26.5,23.7,29.5,23.7 - 29.5,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-09,2020-12-21,44.4,40.4,48.4,40.4 - 48.4,2020,Dec
By Education,Less than a high school diploma,2020-12-09,2020-12-21,42.7,37.6,47.8,37.6 - 47.8,2020,Dec
By Education,High school diploma or GED,2020-12-09,2020-12-21,38.1,36.2,40.1,36.2 - 40.1,2020,Dec
By Education,Some college/Associate's degree,2020-12-09,2020-12-21,40.1,39.1,41.1,39.1 - 41.1,2020,Dec
By Education,Bachelor's degree or higher,2020-12-09,2020-12-21,31.5,30.6,32.3,30.6 - 32.3,2020,Dec
National Estimate,United States,2020-12-09,2020-12-21,42.4,41.5,43.3,41.5 - 43.3,2020,Dec
By Age,18 - 29 years,2020-12-09,2020-12-21,56.2,53.5,58.9,53.5 - 58.9,2020,Dec
By Age,30 - 39 years,2020-12-09,2020-12-21,49.1,47.4,50.9,47.4 - 50.9,2020,Dec
By Age,40 - 49 years,2020-12-09,2020-12-21,45.1,43.2,47,43.2 - 47.0,2020,Dec
By Age,50 - 59 years,2020-12-09,2020-12-21,41.1,39.5,42.7,39.5 - 42.7,2020,Dec
By Age,60 - 69 years,2020-12-09,2020-12-21,33.6,31.9,35.3,31.9 - 35.3,2020,Dec
By Age,70 - 79 years,2020-12-09,2020-12-21,27.1,25.2,29.1,25.2 - 29.1,2020,Dec
By Age,80 years and above,2020-12-09,2020-12-21,28.3,22.2,35,22.2 - 35.0,2020,Dec
By Sex,Male,2020-12-09,2020-12-21,37.9,36.7,39.1,36.7 - 39.1,2020,Dec
By Sex,Female,2020-12-09,2020-12-21,46.5,45.4,47.6,45.4 - 47.6,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-09,2020-12-21,46.3,44,48.5,44.0 - 48.5,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-09,2020-12-21,40.9,40,41.7,40.0 - 41.7,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-09,2020-12-21,48,45.3,50.7,45.3 - 50.7,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-09,2020-12-21,33.1,29.5,36.8,29.5 - 36.8,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-09,2020-12-21,48.9,45.1,52.8,45.1 - 52.8,2020,Dec
By Education,Less than a high school diploma,2020-12-09,2020-12-21,49.6,44.9,54.2,44.9 - 54.2,2020,Dec
By Education,High school diploma or GED,2020-12-09,2020-12-21,44.7,42.5,46.8,42.5 - 46.8,2020,Dec
By Education,Some college/Associate's degree,2020-12-09,2020-12-21,45.8,44.8,46.8,44.8 - 46.8,2020,Dec
By Education,Bachelor's degree or higher,2020-12-09,2020-12-21,35.6,34.8,36.5,34.8 - 36.5,2020,Dec
National Estimate,United States,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,18 - 29 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,30 - 39 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,40 - 49 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,50 - 59 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,60 - 69 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,70 - 79 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,80 years and above,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Male,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Female,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Less than a high school diploma,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,High school diploma or GED,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Some college/Associate's degree,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Bachelor's degree or higher,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
National Estimate,United States,2021-01-06,2021-01-18,28.4,27.5,29.2,27.5 - 29.2,2021,Jan
By Age,18 - 29 years,2021-01-06,2021-01-18,41.1,38.4,43.8,38.4 - 43.8,2021,Jan
By Age,30 - 39 years,2021-01-06,2021-01-18,31.9,29.9,33.9,29.9 - 33.9,2021,Jan
By Age,40 - 49 years,2021-01-06,2021-01-18,29.1,27.3,30.9,27.3 - 30.9,2021,Jan
By Age,50 - 59 years,2021-01-06,2021-01-18,27.1,25.6,28.7,25.6 - 28.7,2021,Jan
By Age,60 - 69 years,2021-01-06,2021-01-18,22.3,20.8,23.9,20.8 - 23.9,2021,Jan
By Age,70 - 79 years,2021-01-06,2021-01-18,18.7,16.4,21.1,16.4 - 21.1,2021,Jan
By Age,80 years and above,2021-01-06,2021-01-18,18.4,14.4,22.8,14.4 - 22.8,2021,Jan
By Sex,Male,2021-01-06,2021-01-18,25.9,24.7,27.1,24.7 - 27.1,2021,Jan
By Sex,Female,2021-01-06,2021-01-18,30.6,29.7,31.5,29.7 - 31.5,2021,Jan
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,2021-01-18,29.6,27.4,31.9,27.4 - 31.9,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,2021-01-18,27.4,26.6,28.3,26.6 - 28.3,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,2021-01-18,31.2,28.3,34.2,28.3 - 34.2,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,2021-01-18,23.6,21.2,26,21.2 - 26.0,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,2021-01-18,37.2,32.9,41.6,32.9 - 41.6,2021,Jan
By Education,Less than a high school diploma,2021-01-06,2021-01-18,35.2,31.6,38.9,31.6 - 38.9,2021,Jan
By Education,High school diploma or GED,2021-01-06,2021-01-18,30.5,28.6,32.5,28.6 - 32.5,2021,Jan
By Education,Some college/Associate's degree,2021-01-06,2021-01-18,32.4,31.2,33.7,31.2 - 33.7,2021,Jan
By Education,Bachelor's degree or higher,2021-01-06,2021-01-18,21.1,20.4,21.9,20.4 - 21.9,2021,Jan
National Estimate,United States,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,18 - 29 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,30 - 39 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,40 - 49 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,50 - 59 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,60 - 69 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,70 - 79 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,80 years and above,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Male,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Female,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Less than a high school diploma,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,High school diploma or GED,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Some college/Associate's degree,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Bachelor's degree or higher,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
National Estimate,United States,2021-01-06,2021-01-18,35.8,35.1,36.5,35.1 - 36.5,2021,Jan
By Age,18 - 29 years,2021-01-06,2021-01-18,46.3,43.5,49.1,43.5 - 49.1,2021,Jan
By Age,30 - 39 years,2021-01-06,2021-01-18,40,38.1,42,38.1 - 42.0,2021,Jan
By Age,40 - 49 years,2021-01-06,2021-01-18,40,38,42,38.0 - 42.0,2021,Jan
By Age,50 - 59 years,2021-01-06,2021-01-18,36,34.4,37.6,34.4 - 37.6,2021,Jan
By Age,60 - 69 years,2021-01-06,2021-01-18,29.6,28.2,31,28.2 - 31.0,2021,Jan
By Age,70 - 79 years,2021-01-06,2021-01-18,22.3,20.5,24.1,20.5 - 24.1,2021,Jan
By Age,80 years and above,2021-01-06,2021-01-18,20.3,16.9,24.1,16.9 - 24.1,2021,Jan
By Sex,Male,2021-01-06,2021-01-18,30.7,29.4,32,29.4 - 32.0,2021,Jan
By Sex,Female,2021-01-06,2021-01-18,40.5,39.7,41.4,39.7 - 41.4,2021,Jan
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,2021-01-18,37.6,35.5,39.7,35.5 - 39.7,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,2021-01-18,35.8,35,36.6,35.0 - 36.6,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,2021-01-18,34.8,31.8,38,31.8 - 38.0,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,2021-01-18,28.1,25.6,30.7,25.6 - 30.7,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,2021-01-18,41.2,37.2,45.2,37.2 - 45.2,2021,Jan
By Education,Less than a high school diploma,2021-01-06,2021-01-18,42.9,38.2,47.7,38.2 - 47.7,2021,Jan
By Education,High school diploma or GED,2021-01-06,2021-01-18,34.7,32.9,36.5,32.9 - 36.5,2021,Jan
By Education,Some college/Associate's degree,2021-01-06,2021-01-18,38.8,37.5,40.2,37.5 - 40.2,2021,Jan
By Education,Bachelor's degree or higher,2021-01-06,2021-01-18,32.3,31.6,33.1,31.6 - 33.1,2021,Jan
National Estimate,United States,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,18 - 29 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,30 - 39 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,40 - 49 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,50 - 59 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,60 - 69 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,70 - 79 years,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Age,80 years and above,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Male,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Sex,Female,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,Hispanic or Latino,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Less than a high school diploma,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,High school diploma or GED,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Some college/Associate's degree,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
By Education,Bachelor's degree or higher,2020-12-22,2021-01-05,NA,NA,NA,NA,2020,Dec
National Estimate,United States,2021-01-06,2021-01-18,41.1,40.2,41.9,40.2 - 41.9,2021,Jan
By Age,18 - 29 years,2021-01-06,2021-01-18,53.5,50.6,56.5,50.6 - 56.5,2021,Jan
By Age,30 - 39 years,2021-01-06,2021-01-18,45.8,43.8,47.9,43.8 - 47.9,2021,Jan
By Age,40 - 49 years,2021-01-06,2021-01-18,43.9,42.1,45.8,42.1 - 45.8,2021,Jan
By Age,50 - 59 years,2021-01-06,2021-01-18,40.6,38.8,42.4,38.8 - 42.4,2021,Jan
By Age,60 - 69 years,2021-01-06,2021-01-18,34.1,32.5,35.8,32.5 - 35.8,2021,Jan
By Age,70 - 79 years,2021-01-06,2021-01-18,27.9,25.5,30.4,25.5 - 30.4,2021,Jan
By Age,80 years and above,2021-01-06,2021-01-18,27.3,23.2,31.7,23.2 - 31.7,2021,Jan
By Sex,Male,2021-01-06,2021-01-18,36.4,35.1,37.7,35.1 - 37.7,2021,Jan
By Sex,Female,2021-01-06,2021-01-18,45.4,44.5,46.3,44.5 - 46.3,2021,Jan
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-06,2021-01-18,42.1,39.9,44.3,39.9 - 44.3,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-06,2021-01-18,40.6,39.8,41.4,39.8 - 41.4,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Black, single race",2021-01-06,2021-01-18,42.2,39.1,45.4,39.1 - 45.4,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic Asian, single race",2021-01-06,2021-01-18,34,31.4,36.6,31.4 - 36.6,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic, other races and multiple races",2021-01-06,2021-01-18,50.7,46.6,54.8,46.6 - 54.8,2021,Jan
By Education,Less than a high school diploma,2021-01-06,2021-01-18,48.2,43.8,52.7,43.8 - 52.7,2021,Jan
By Education,High school diploma or GED,2021-01-06,2021-01-18,41.1,39.3,42.9,39.3 - 42.9,2021,Jan
By Education,Some college/Associate's degree,2021-01-06,2021-01-18,44.8,43.4,46.3,43.4 - 46.3,2021,Jan
By Education,Bachelor's degree or higher,2021-01-06,2021-01-18,35.9,35.1,36.8,35.1 - 36.8,2021,Jan
National Estimate,United States,2021-01-20,2021-02-01,28.4,27.8,29,27.8 - 29.0,2021,Jan
By Age,18 - 29 years,2021-01-20,2021-02-01,43.4,40.7,46.2,40.7 - 46.2,2021,Jan
By Age,30 - 39 years,2021-01-20,2021-02-01,31.6,30.2,33,30.2 - 33.0,2021,Jan
By Age,40 - 49 years,2021-01-20,2021-02-01,27.1,25.7,28.6,25.7 - 28.6,2021,Jan
By Age,50 - 59 years,2021-01-20,2021-02-01,28,26.6,29.4,26.6 - 29.4,2021,Jan
By Age,60 - 69 years,2021-01-20,2021-02-01,22.4,20.7,24,20.7 - 24.0,2021,Jan
By Age,70 - 79 years,2021-01-20,2021-02-01,17.7,16.2,19.2,16.2 - 19.2,2021,Jan
By Age,80 years and above,2021-01-20,2021-02-01,15.3,12,19,12.0 - 19.0,2021,Jan
By Sex,Male,2021-01-20,2021-02-01,26.3,25.3,27.3,25.3 - 27.3,2021,Jan
By Sex,Female,2021-01-20,2021-02-01,30.4,29.5,31.2,29.5 - 31.2,2021,Jan
By Race/Hispanic ethnicity,Hispanic or Latino,2021-01-20,2021-02-01,32.1,30,34.3,30.0 - 34.3,2021,Jan
By Race/Hispanic ethnicity,"Non-Hispanic White, single race",2021-01-20,2021-02-01,26.9,26.3,27.5,26.3 - 27.5,2021,Jan
